date,difficulty,market_price
2016-02-04,120033340651.237,368.46
2016-02-08,144116447847.349,375.0
2016-02-12,144116447847.349,378.02
2016-02-16,144116447847.349,399.21
2016-02-20,163491654908.959,419.98
2016-02-24,163491654908.959,419.25
2016-02-28,163491654908.959,431.59
2016-03-03,163491654908.959,422.5
2016-03-07,158427203767.392,405.69
2016-03-11,158427203767.392,416.0
2016-03-15,158427203767.392,414.99
2016-03-19,165496835118.226,407.96
2016-03-23,165496835118.226,416.39
2016-03-27,165496835118.226,416.96
2016-03-31,165496835118.226,413.74
2016-04-04,166851513282.777,418.51
2016-04-08,166851513282.777,419.95
2016-04-12,166851513282.777,422.63
2016-04-16,178678307671.688,429.45
2016-04-20,178678307671.0,435.95
2016-04-24,178678307671.0,451.92
2016-04-28,178666121338.551,445.29
2016-05-02,178659257772.0,453.0
2016-05-06,178659257772.0,449.37
2016-05-10,178659257772.0,460.66
2016-05-14,194254820283.0,455.82
2016-05-18,194254820283.0,453.08
2016-05-22,194254820283.0,443.21
2016-05-26,199312067531.0,448.7
2016-05-30,199312067531.0,511.3
2016-06-03,199312067531.0,538.0
2016-06-07,199312067531.0,583.72
2016-06-11,196061423939.0,577.95
2016-06-15,196061423939.0,685.19
2016-06-19,196061423939.0,751.96
2016-06-23,209453158595.0,592.81
2016-06-27,209453158595.0,630.19
2016-07-01,209453158595.0,667.95
2016-07-05,213398925331.0,681.98
2016-07-09,213398925331.0,663.0
2016-07-13,213398925331.0,664.5
2016-07-17,213398925331.0,661.32
2016-07-21,213492501107.0,667.5
2016-07-25,213492501107.0,661.48
2016-07-29,213492501107.0,655.54
2016-08-02,210798472402.845,605.56
2016-08-06,201893210853.0,572.72
2016-08-10,201893210853.0,584.98
2016-08-14,201893210853.0,583.34
2016-08-18,217375482757.0,570.92
2016-08-22,217375482757.0,577.24
2016-08-26,217375482757.0,575.75
2016-08-30,220755908330.0,571.5
2016-09-03,220755908330.0,572.0
2016-09-07,220755908330.0,608.16
2016-09-11,220755908330.0,621.65
2016-09-15,225832872179.0,608.99
2016-09-19,225832872179.0,607.31
2016-09-23,225832872179.0,594.08
2016-09-27,241227200229.0,606.79
2016-10-01,241227200229.0,608.38
2016-10-05,241227200229.0,607.18
2016-10-09,258522748404.0,614.46
2016-10-13,258522748404.0,635.16
2016-10-17,258522748404.0,638.97
2016-10-21,258522748404.0,628.89
2016-10-25,253618246641.0,643.93
2016-10-29,253618246641.0,685.91
2016-11-02,253618246641.0,726.6
2016-11-06,254620187304.0,703.48
2016-11-10,254620187304.0,721.5
2016-11-14,254620187304.0,700.38
2016-11-18,272434584596.115,736.84
2016-11-22,281800917193.0,736.97
2016-11-26,281800917193.0,737.07
2016-11-30,281800917193.0,730.02
2016-12-04,286765766820.0,762.97
2016-12-08,286765766820.0,766.48
2016-12-12,286765766820.0,768.19
2016-12-16,310153855703.0,775.88
2016-12-20,310153855703.0,791.03
2016-12-24,310153855703.0,913.93
2016-12-28,312083434211.183,930.34
2017-01-01,317688400354.0,964.84
2017-01-05,317688400354.0,1109.16
2017-01-09,317688400354.0,910.49
2017-01-13,336899932795.0,805.52
2017-01-17,336899932795.0,830.56
2017-01-21,336899932795.0,895.64
2017-01-25,392963262344.0,883.59
2017-01-29,392963262344.0,918.62
2017-02-02,392963262344.0,983.42
2017-02-06,422170566883.0,1011.08
