"Date","Price","Open","High","Low","Vol.","Change %"
"09/02/2021","0.08","0.08","0.08","0.08","","0.00%"
"09/01/2021","0.08","0.08","0.08","0.08","","33.33%"
"08/31/2021","0.06","0.06","0.06","0.06","","-25.00%"
"08/30/2021","0.08","0.08","0.08","0.08","","0.00%"
"08/27/2021","0.08","0.08","0.08","0.08","","-11.11%"
"08/26/2021","0.09","0.09","0.09","0.09","","0.00%"
"08/25/2021","0.09","0.09","0.09","0.09","","0.00%"
"08/24/2021","0.09","0.09","0.09","0.09","","0.00%"
"08/23/2021","0.09","0.09","0.09","0.09","","0.00%"
"08/20/2021","0.09","0.09","0.09","0.09","","0.00%"
"08/19/2021","0.09","0.09","0.09","0.09","","0.00%"
"08/18/2021","0.09","0.09","0.09","0.09","","-10.00%"
"08/17/2021","0.10","0.10","0.10","0.10","","0.00%"
"08/16/2021","0.10","0.10","0.10","0.10","","0.00%"
"08/13/2021","0.10","0.10","0.10","0.10","","0.00%"
"08/12/2021","0.10","0.10","0.10","0.10","","0.00%"
"08/11/2021","0.10","0.10","0.10","0.10","","0.00%"
"08/10/2021","0.10","0.10","0.10","0.10","","0.00%"
"08/09/2021","0.10","0.10","0.10","0.10","","0.00%"
"08/06/2021","0.10","0.10","0.10","0.10","","0.00%"
"08/05/2021","0.10","0.10","0.10","0.10","","0.00%"
"08/04/2021","0.10","0.10","0.10","0.10","","0.00%"
"08/03/2021","0.10","0.10","0.10","0.10","","0.00%"
"08/02/2021","0.10","0.10","0.10","0.10","","42.86%"
"07/30/2021","0.07","0.07","0.07","0.07","","-30.00%"
"07/29/2021","0.10","0.10","0.10","0.10","","0.00%"
"07/28/2021","0.10","0.10","0.10","0.10","","0.00%"
"07/27/2021","0.10","0.10","0.10","0.10","","0.00%"
"07/26/2021","0.10","0.10","0.10","0.10","","0.00%"
"07/23/2021","0.10","0.10","0.10","0.10","","0.00%"
"07/22/2021","0.10","0.10","0.10","0.10","","0.00%"
"07/21/2021","0.10","0.10","0.10","0.10","","0.00%"
"07/20/2021","0.10","0.10","0.10","0.10","","0.00%"
"07/19/2021","0.10","0.10","0.10","0.10","","0.00%"
"07/16/2021","0.10","0.10","0.10","0.10","","0.00%"
"07/15/2021","0.10","0.10","0.10","0.10","","0.00%"
"07/14/2021","0.10","0.10","0.10","0.10","","0.00%"
"07/13/2021","0.10","0.10","0.10","0.10","","0.00%"
"07/12/2021","0.10","0.10","0.10","0.10","","0.00%"
"07/09/2021","0.10","0.10","0.10","0.10","","0.00%"
"07/08/2021","0.10","0.10","0.10","0.10","","0.00%"
"07/07/2021","0.10","0.10","0.10","0.10","","0.00%"
"07/06/2021","0.10","0.10","0.10","0.10","","0.00%"
"07/02/2021","0.10","0.10","0.10","0.10","","0.00%"
"07/01/2021","0.10","0.10","0.10","0.10","","25.00%"
"06/30/2021","0.08","0.08","0.08","0.08","","-20.00%"
"06/29/2021","0.10","0.10","0.10","0.10","","0.00%"
"06/28/2021","0.10","0.10","0.10","0.10","","0.00%"
"06/25/2021","0.10","0.10","0.10","0.10","","0.00%"
"06/24/2021","0.10","0.10","0.10","0.10","","0.00%"
"06/23/2021","0.10","0.10","0.10","0.10","","0.00%"
"06/22/2021","0.10","0.10","0.10","0.10","","0.00%"
"06/21/2021","0.10","0.10","0.10","0.10","","0.00%"
"06/18/2021","0.10","0.10","0.10","0.10","","0.00%"
"06/17/2021","0.10","0.10","0.10","0.10","","66.67%"
"06/16/2021","0.06","0.06","0.06","0.06","","0.00%"
"06/15/2021","0.06","0.06","0.06","0.06","","0.00%"
"06/14/2021","0.06","0.06","0.06","0.06","","0.00%"
"06/11/2021","0.06","0.06","0.06","0.06","","0.00%"
"06/10/2021","0.06","0.06","0.06","0.06","","0.00%"
"06/09/2021","0.06","0.06","0.06","0.06","","0.00%"
"06/08/2021","0.06","0.06","0.06","0.06","","0.00%"
"06/07/2021","0.06","0.06","0.06","0.06","","0.00%"
"06/04/2021","0.06","0.06","0.06","0.06","","0.00%"
"06/03/2021","0.06","0.06","0.06","0.06","","0.00%"
